Source,Target,Type,Weight,Name
122,9,undirected,3,Conflictiva
122,119,undirected,2,Distante
122,24,undirected,10,Conflictiva_distante
122,57,undirected,11,Cercana_Conflictiva
122,6,undirected,6,Colaboracion 
123,136,undirected,2,Distante
123,137,undirected,4,Subyugacion
123,138,undirected,6,Colaboracion 
123,6,undirected,6,Subyugacion
83,44,undirected,2,Distante
83,63,undirected,2,Distante
83,150,undirected,2,Distante
83,38,undirected,5,Cercana
83,39,undirected,2,Distante
72,9,undirected,7,Cuidado
73,9,undirected,7,Cuidado
122,9,undirected,7,Cuidado
