Id,Label,Latitud,Longitud,tipo organizacion
123,PRM,-41.7751972,-73.1273777,Programa
124,cesfam,-42.01669,-72.68608,Salud
125,escuela,-41.6638379,-72.2963165,Educacion
126,tribunal_familia,-41.7702595,-73.1305669,Judicial
127,escuela,-41.7625374,-73.1389433,Educacion
128,escuela,-41.71499275,-73.70489669,Educacion
130,posta,-41.216962,-73.488467,Salud
131,hospital,-41.1555065,-73.4230122,Salud
132,posta,-41.15364,-73.42102,Salud
133,cescof,-41.3133574,-72.987615,Salud
134,residencia,-41.3191728,-72.9400219,Programa
135,union_comunal,-41.7689852,-73.129997,Comunitario
136,oln,-41.7721267,-73.1259639,Infancia
137,FAE,-41.7708505,-73.1357609,Programa
138,AFT,-41.7248658,-73.1828358,Programa
139,colegio,-41.3180687,-72.9891888,Educacion
140,colegio,-41.3183621,-72.9880426,Educacion
141,colegio,-41.3189527,-72.9874146,Educacion
142,colegio,-41.3303636,-72.9678355,Educacion
143,colegio,-41.3259825,-72.9743633,Educacion
144,tribunal_familia,-41.9570102,-72.4605699,Judicial
145,verduleria,-41.4570108,-72.9508473,Comunitario
146,PRM,-41.4660839,-72.9421518,Programa
147,FAE,-41.470876,-72.9481769,Programa
148,biblioteca,-41.2597101,-73.0074997,Comunitario
149,junta_vecinos,-41.3932505,-72.916925,Comunitario
150,fiscalia,-41.3139392,-72.9852321,Judicial
151,cecosf,-41.3133574,-72.987615,Salud
152,junta_vecinos,-41.4119159,-73.7653131,Comunitario
153,AFT,-41.47253175,-72.94864064,Programa
154,residencia,-41.4871653,-72.8973845,Programa
155,carabineros,-41.12162,-73.0581,Seguridad
